,※入力規則,"キャスト名の姓名の間には半角スペースを入れてください

※キャスト名の欄がピンク色にハイライトされた場合、どこかの行とキャスト名が重複しているため、新たにIDを割り当てずに既存のIDを利用してください","命名ルール：cast_image_{id}.png
※ sFTPでのS3へのアップロード

セルには{フォルダ}/{フォルダ}/{フォルダ}/{ファイル名}のように記載
※コンテンツ素材の前は、public/としてください",芸人さんはコンビ名、アイドルはグループ名を入力用_所属グループマスタのIDで指定。,,ID指定（声優、俳優、監督、スタッフなどをマスタ管理）
,id,キャスト名,キャスト画像,所属グループ,ジャンル,役割
,id,name,image,group,,
,312,芋,,,anime,声優
,313,鈴郷（さとー）,,,anime,声優
,314,檜山 修之,,,anime,声優
,315,平田 広明,,,anime,声優
,316,金元 寿子,,,anime,声優
,317,前川 涼子,,,anime,声優
,318,水野 駿太郎,,,anime,声優
,319,石毛 翔弥,,,anime,声優
,320,坂本 真綾,,,anime,声優
,321,山口 愛,,,anime,声優
,322,國立 幸,,,anime,声優
,323,小市 眞琴,,,anime,声優
,324,名塚 佳織,,,anime,声優
,325,綿貫 竜之介,,,anime,声優
,326,嶋村 侑,,,anime,声優
,327,石見 舞菜香,,,anime,声優
,328,諸星 すみれ,,,anime,声優
,329,宮崎 遊,,,anime,声優
,330,大塚 剛央,,,anime,声優
,331,畠中 祐,,,anime,声優
,332,津田 寛治,,,anime,声優
,333,篠田 諒,,,anime,声優
,334,清水 優,,,anime,声優
,335,ぽんず,,,anime,声優
,336,本田 寿々丸,,,anime,声優
,337,吉田 晴雄,,,anime,声優
,338,長月 明日香,,,anime,声優
,339,小泉 よう,,,anime,声優
,340,蔀 祐佳,,,anime,声優
,341,土屋 咲登子,,,anime,声優
,342,青木 砂織,,,anime,声優
,343,竹内 順子,,,anime,声優
,344,野中 藍,,,anime,声優
,345,川原 慶久,,,anime,声優
,346,宮田 俊哉,,,anime,声優
,347,幸村 恵理,,,anime,声優
,348,西尾 夕香,,,anime,声優
,349,川島 零士,,,anime,声優
,350,岩田 陽葵,,,anime,声優
,351,真野 拓実,,,anime,声優
,352,森嶋 秀太,,,anime,声優
,353,進藤 あまね,,,anime,声優
,354,井澤 詩織,,,anime,声優
,355,上田 燿司,,,anime,声優
,356,谷山 紀章,,,anime,声優
,357,木野 日菜,,,anime,声優
,358,家中 宏,,,anime,声優
,359,赤羽根 健治,,,anime,声優
,360,かぬか 光明,,,anime,声優
,361,菅 正太郎,,,anime,声優
,362,常盤 昌平,,,anime,声優
,363,三宅 麻理恵,,,anime,声優
,364,恋糸 りあ,,,anime,声優
,365,倉持 京子,,,anime,声優
,366,宮咲 あかり,,,anime,声優
,367,宮世 真理子,,,anime,声優
,368,浅沼 晋太郎,,,anime,声優
,369,石橋 陽彩,,,anime,声優
,370,山村 響,,,anime,声優
,371,島袋 美由利,,,anime,声優
,372,千葉 繁,,,anime,声優
,373,木村 昴,,,anime,声優
,374,吉田 早希,,,anime,声優
,375,三上 枝織,,,anime,声優
,376,朴 璐美,,,anime,声優
,377,沼倉 愛美,,,anime,声優
,378,山下 誠一郎,,,anime,声優
,379,小山 剛志,,,anime,声優
,380,瀬戸 麻沙美,,,anime,声優
,381,三森 すずこ,,,anime,声優
,382,近藤 玲奈,,,anime,声優
,383,藤井 ゆきよ,,,anime,声優
,384,志村 知幸,,,anime,声優
,385,中田 譲治,,,anime,声優
,386,峯田 大夢,,,anime,声優
,387,石川 界人,,,anime,声優
,388,高橋 信,,,anime,声優
,389,山谷 祥生,,,anime,声優
,390,ブリドカットセーラ 恵美,,,anime,声優
,391,仲野 裕,,,anime,声優
,392,小原 好美,,,anime,声優
,393,小林 裕介,,,anime,声優
,394,高橋 花林,,,anime,声優
,395,麦人,,,anime,声優
,396,中島 ヨシキ,,,anime,声優
,397,水野 朔,,,anime,声優
,398,榊原 優希,,,anime,声優
,399,大久保 瑠美,,,anime,声優
,400,岡咲 美保,,,anime,声優
,401,豊口 めぐみ,,,anime,声優
,402,日岡 なつみ,,,anime,声優
,403,松風 雅也,,,anime,声優
,404,田丸 篤志,,,anime,声優
,405,加藤 将之,,,anime,声優
,406,小松 史法,,,anime,声優
,407,M・A・O,,,anime,声優
,408,山本 兼平,,,anime,声優
,409,田中 理恵,,,anime,声優
,410,斎藤 楓子,,,anime,声優
,411,大西 沙織,,,anime,声優
,412,福原 綾香,,,anime,声優
,413,阪口 大助,,,anime,声優
,414,KUN,,,anime,声優
,415,遠野 ひかる,,,anime,声優
,416,白石 涼子,,,anime,声優
,417,川井田 夏海,,,anime,声優
,418,小野 友樹,,,anime,声優
,419,能登 麻美子,,,anime,声優
,420,伊東 健人,,,anime,声優
,421,高橋 伸也,,,anime,声優
,422,東城 日沙子,,,anime,声優
,423,松岡 美里,,,anime,声優
,424,関根 瞳,,,anime,声優
,425,宮内 敦士,,,anime,声優
,426,武内 駿輔,,,anime,声優
,427,芹澤 優,,,anime,声優
,428,奈波 果林,,,anime,声優
,429,愛美,,,anime,声優
,430,KENN,,,anime,声優
,431,松本 沙羅,,,anime,声優
,432,栗坂 南美,,,anime,声優
,433,四宮 豪,,,anime,声優
,434,鈴木 絵理,,,anime,声優
,435,河瀬 茉希,,,anime,声優
,436,高橋 広樹,,,anime,声優
,437,小山 力也,,,anime,声優
,438,榎木 淳弥,,,anime,声優
,439,佳原 萌枝,,,anime,声優
,440,矢野 妃菜喜,,,anime,声優
,441,夏吉 ゆうこ,,,anime,声優
,442,MAKIKO,,,anime,声優
,443,秋奈,,,anime,声優
,444,Machico,,,anime,声優
,445,高野 麻里佳,,,anime,声優
,446,木村 千咲,,,anime,声優
,447,花井 美春,,,anime,声優
,448,高橋 未奈美,,,anime,声優
,449,前田 玲奈,,,anime,声優
,450,沖野 晃司,,,anime,声優
,451,堀内 賢雄,,,anime,声優
,452,斎藤 志郎,,,anime,声優
,453,浜田 賢二,,,anime,声優
,454,西山 宏太朗,,,anime,声優
,455,川島 得愛,,,anime,声優
,456,三石 琴乃,,,anime,声優
,457,田邊 幸輔,,,anime,声優
,458,櫻井 トオル,,,anime,声優
,459,浦 和希,,,anime,声優
,460,戸谷 菊之介,,,anime,声優
,461,秋元 羊介,,,anime,声優
,462,阿部 敦,,,anime,声優
,463,麻倉 もも,,,anime,声優
,464,新垣 樽助,,,anime,声優
,465,戸松 遥,,,anime,声優
,466,安済 知佳,,,anime,声優
,467,チョー,,,anime,声優
,468,内田 修一,,,anime,声優
,469,徳井 青空,,,anime,声優
,470,相馬 康一,,,anime,声優
,471,近藤 孝行,,,anime,声優
,472,下地 紫野,,,anime,声優
,473,櫻井 みゆき,,,anime,声優
,474,寺澤 百花,,,anime,声優
